type,program,catalog,reqs_url,4_yr_plan
BSA,Astronomy,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-astronomy-degree-checklist-16-18-catalog.pdf,N/A
BSA,Astronomy,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-astronomy-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-astronomy-honors-4-yr-plan-20-22-catalog.pdf
BSA,Astronomy,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-astronomy-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-astronomy-4-yr-plan-18-20-catalog.pdf
BSA,Astronomy,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-astronomy-degree-checklist-22-24-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-astronomy-4-yr-plan-22-24-catalog_0.pdf
BS,Astronomy,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option1-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-option1-4-yr-plan-20-22-catalog.pdf
BS,Astronomy,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option2-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-option2-4-yr-plan-20-22-catalog.pdf
BSA,Astronomy,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-astronomy-degree-checklist-22-24-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-astronomy-honors-4-yr-plan-22-24-catalog.pdf
BS,Astronomy: Option 1,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option1-degree-checklist-16-18-catalog.pdf,N/A
BS,Astronomy: Option 1,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option1-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-option1-4-yr-plan-18-20-catalog.pdf
BS,Astronomy: Option 1,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option1-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-4-yr-plan-22-24-catalog.pdf
BS,Astronomy: Option 2,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option2-degree-checklist-16-18-catalog.pdf,N/A
BS,Astronomy: Option 2,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option2-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-option2-4-yr-plan-18-20-catalog.pdf
BS,Astronomy: Option 2,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-astronomy-option2-honors-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-astronomy-option2-honors-4-yr-plan-22-24-catalog.pdf
BSA,Biochemistry,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-bch-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-bch-4-yr-plan-20-22-catalog.pdf
BSA,Biochemistry,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-bch-checklist-16-18-catalog.pdf,N/A
BSA,Biochemistry,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-bch-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-bch-4-yr-plan-18-20-catalog.pdf
BSA,Biochemistry,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-bch-checklist-18-20-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-bch-honors-4-yr-plan-18-20-catalog.pdf
BS,Biochemistry: Option 1,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option1-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-bch-option1-4-yr-plan-20-22-catalog.pdf
BS,Biochemistry: Option 1,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option1-degree-checklist-16-18-catalog.pdf,N/A
BS,Biochemistry: Option 1,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option1-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-bch-option1-4-yr-plan-18-20-catalog.pdf
BS,Biochemistry: Option 1,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option1-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biochemistry-option1-4-yr-plan-22-24-catalog_0.pdf
BS,Biochemistry: Option 3,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option3-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-bch-option3-4-yr-plan-20-22-catalog.pdf
BS,Biochemistry: Option 3,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option3-degree-checklist-16-18-catalog.pdf,N/A
BS,Biochemistry: Option 3,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option3-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-bch-option3-4-yr-plan-18-20-catalog.pdf
BS,Biochemistry: Option 3,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-bch-option3-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-bch-option3-honors-4-yr-plan-22-24-catalog.pdf
BSA,Biology,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-biology-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-biology-honors-4-yr-plan-18-20-catalog.pdf
BSA,Biology,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-biology-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-biology-4-yr-plan-20-22-catalog.pdf
BSA,Biology,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-biology-degree-checklist-16-18-catalog.pdf,N/A
BSA,Biology,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-biology-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-biology-4-yr-plan-18-20-catalog.pdf
BSA,Biology,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-biology-degree-checklist-22-24-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-biology-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 1,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option1-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option1-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 1,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option1-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 1,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option1-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option1-4-yr-plan-18-20-catalog.pdf
