course,name,description,equivalents,prerequisites,other_reqs,full_description
PHY 301,Mechanics,Designed for students who intend to major in science or mathematics. Three lecture hours a week for one semester.,"['Physical Science 303', 'Physics 301', 'Physics 302K', 'Physics 303K', 'Physics 309K', 'Physics 317K']","['Mathematics 408D', 'Mathematics 408L', 'Mathematics 408S', 'Physics 101L']",an appropriate score on the physics assessment exam,
PHY 101L,Laboratory for Physics 301,Three laboratory hours a week for one semester.,"['Physics 101L', 'Physics 102M', 'Physics 103M', 'Physics 105M', 'Physics 117M']",['Physics 301'],,
PHY 302K,"General Physics Technical Course: Mechanics, Heat, and Sound",Noncalculus technical course in physics. Completion of high school trigonometry or Mathematics 305G is highly recommended. Three lecture hours a week for one semester.,"['Physical Science 303', 'Physics 301', 'Physics 302K', 'Physics 303K', 'Physics 309K', 'Physics 317K']","['Physics 102M', 'Physics 105M']",,
PHY 302L,"General Physics Technical Course: Electricity and Magnetism, Light, Atomic and Nuclear Physics",Noncalculus technical course in physics. Three lecture hours a week for one semester.,"['Physical Science 304', 'Physics 302L', 'Physics 303L', 'Physics 309L', 'Physics 316', 'Physics 317L']","['Physics 302K', 'Physics 102M', 'Physics 105M']",,
PHY 102M,Laboratory for Physics 302K,Two laboratory hours a week for one semester.,"['Physics 101L', 'Physics 102M', 'Physics 103M', 'Physics 105M', 'Physics 117M']",['Physics 302K'],,
PHY 102N,Laboratory for Physics 302L,Two laboratory hours a week for one semester.,"['Physics 102N', 'Physics 103N', 'Physics 105N', 'Physics 116L', 'Physics 117N']",['Physics 302L'],,
PHY 303K,Engineering Physics I,"A general survey of physics; primarily laws of motion, heat, and wave phenomena. Three lecture hours and one discussion hour a week for one semester.","['Physical Science 303', 'Physics 301', 'Physics 302K', 'Physics 303K', 'Physics 309K', 'Physics 317K']","['Mathematics 408D', 'Mathematics 408L', 'Mathematics 408S', 'Physics 103M', 'Physics 105M']",an appropriate score on the physics assessment exam,
PHY 303L,Engineering Physics II,"Electricity and magnetism, optics, and atomic phenomena. Three lecture hours and one discussion hour a week for one semester.","['Physical Science 304', 'Physics 302L', 'Physics 303L', 'Physics 309L', 'Physics 316', 'Physics 317L']","['Physics 303K', 'Mathematics 408D', 'Mathematics 408M', 'Physics 103M', 'Physics 105M']",,
PHY 103M,Laboratory for Physics 303K,Two laboratory hours a week for one semester.,"['Physics 101L', 'Physics 102M', 'Physics 103M', 'Physics 105M', 'Physics 117M']",['Physics 303K'],,
PHY 103N,Laboratory for Physics 303L,Two laboratory hours and one discussion hour a week for one semester.,"['Physics 102N', 'Physics 103N', 'Physics 105N', 'Physics 116L', 'Physics 117N']",['Physics 303L'],,
PHY 104,Introductory Physics Seminar,"Suggested for beginning physics majors. Discussion of the development of important ideas in physics, with emphasis on their relevance to contemporary research. One lecture hour a week for one semester.",[],[],,
PHY 105M,"Laboratory For Physics 302K, 303K, and 317K",Participate in an introductory mechanics laboratory. Three laboratory hours a week for one semester.,"['Physics 101L', 'Physics 102M', 'Physics 103M', 'Physics 105M', 'Physics 117M']","['Physics 302K', 'Physics 303K', 'Physics 317K']",,
PHY 105N,"Laboratory For Physics 302L, 303L, and 317L","Participate in an introductory electricity, magnetism, and optics laboratory. Three laboratory hours a week for one semester.","['Physics 102N', 'Physics 103N', 'Physics 105N', 'Physics 116L', 'Physics 117N']","['Physics 302L', 'Physics 303L', 'Physics 317L']",,
