course,name,description,equivalents,prerequisites,other_reqs,full_description
SDS 301,Elementary Statistical Methods,"Covers the fundamental procedures for data organization and analysis. Subjects include frequency distributions, graphical presentation, sampling, experimental design, inference, and regression.","['Educational Psychology 308', 'Statistics 309', 'Statistics and Data Sciences 301']",[],,"SDS 301 (TCCN: MATH 1342). Elementary Statistical Methods. Covers the fundamental procedures for data organization and analysis. Subjects include frequency distributions, graphical presentation, sampling, experimental design, inference, and regression. Three lecture hours a week for one semester. Only one of the following may be counted: Educational Psychology 308, Statistics 309, 309H or Statistics and Data Sciences 301."
SDS 302F,Foundations of Data Analysis,"Introduction to data analysis and statistical methods. Subjects include random sampling; principles of observational study and experimental design; data summaries and graphics; and statistical models and inference, including the simple linear regression model and one-way analysis of variance.","['Statistics and Data Sciences 302', 'Statistics and Data Sciences 302F', 'Statistics and Data Sciences 306']",[],,"SDS 302F. Foundations of Data Analysis. Introduction to data analysis and statistical methods. Subjects include random sampling; principles of observational study and experimental design; data summaries and graphics; and statistical models and inference, including the simple linear regression model and one-way analysis of variance. Three lecture hours and one laboratory hour a week for one semester. Only one of the following may be counted: Statistics and Data Sciences 302, 302F, 306."
"SDS 110T, 210T, 310T, 410T",Topics in Statistics and Computation,"For each semester hour of credit earned, one lecture hour a week for one semester.",[],[],Statistics and Data Sciences 110T and Statistics and Scientific Computation 110T may not both be counted.,"SDS 110T, 210T, 310T, 410T. Topics in Statistics and Computation. For each semester hour of credit earned, one lecture hour a week for one semester. Statistics and Data Sciences 110T and Statistics and Scientific Computation 110T may not both be counted. May be repeated for credit when the topics vary."
SDS 311C,Numbering Race,"Same as African and African Diaspora Studies 302M. Subjects include conceptualization and operationalization in quantitative measurement, the calculation and interpretation of descriptive statistics and statistical relationships, the application of statistical techniques to understand social phenomenon, and techniques for presenting results from quantitative analysis.","['African and African Diaspora Studies 302M', 'Statistics and Data Sciences 310T (Topic: Numbering Race)', 'Statistics and Data Sciences 317D (Topic: Numbering Race)']",[],,"SDS 311C. Numbering Race. Same as African and African Diaspora Studies 302M. Subjects include conceptualization and operationalization in quantitative measurement, the calculation and interpretation of descriptive statistics and statistical relationships, the application of statistical techniques to understand social phenomenon, and techniques for presenting results from quantitative analysis. Three lecture hours a week for one semester. Only one of the following may be counted: African and African Diaspora Studies 302M, 317D (Topic: Numbering Race), Statistics and Data Sciences 310T (Topic: Numbering Race), Statistics and Data Sciences 311C."
SDS 313,Introduction to Data Science,Introduction to the principles and practice of data science. Explore R and reproducible data analysis; summarizing data using descriptive statistics; data visualization and storytelling; data wrangling and relational data; basic prediction and classification using regression models; and programming in R.,"['Statistics and Data Sciences 313', 'Statistics and Data Sciences 322E', 'Statistics and Data Sciences 348']",[],,"SDS 313. Introduction to Data Science. Introduction to the principles and practice of data science. Explore R and reproducible data analysis; summarizing data using descriptive statistics; data visualization and storytelling; data wrangling and relational data; basic prediction and classification using regression models; and programming in R. The equivalent of three lecture hours a week for one semester. Only one of the following may be counted: Statistics and Data Sciences 313, 322E, 348."
SDS 315,Statistical Thinking,"Introduction to the fundamental ideas of statistical thinking with R programming. Explore survey, experimental, and observational study design; common sources of random and systematic error in data; the bootstrap as a tool for quantifying uncertainty; hypothesis testing; regression; and the role of statistics in an ethical and just society.",[],['Statistics and Data Sciences 313 with a grade of at least C-'],,"SDS 315. Statistical Thinking. Introduction to the fundamental ideas of statistical thinking with R programming. Explore survey, experimental, and observational study design; common sources of random and systematic error in data; the bootstrap as a tool for quantifying uncertainty; hypothesis testing; regression; and the role of statistics in an ethical and just society. The equivalent of three lecture hours a week for one semester. Prerequisite: Statistics and Data Sciences 313 with a grade of at least C-."
SDS 318,Introduction to Statistical and Scientific Computation,"An introduction to quantitative analysis using fundamental concepts in statistics and scientific computation. Includes probability, distributions, sampling, interpolation, iteration, recursion, and visualization.",[],[],Statistics and Data Sciences 318 and Statistics and Scientific Computation 318 may not both be counted.,"SDS 318. Introduction to Statistical and Scientific Computation. An introduction to quantitative analysis using fundamental concepts in statistics and scientific computation. Includes probability, distributions, sampling, interpolation, iteration, recursion, and visualization. Three lecture hours and one laboratory hour a week for one semester. Statistics and Data Sciences 318 and Statistics and Scientific Computation 318 may not both be counted."
SDS 320E,Elements of Statistics,"Introduction to statistics. Subjects include probability; principles of observational study and experimental design; statistical models and inference, including the multiple linear regression model and one-way analysis of variance. R programming is introduced.","['Statistics and Data Sciences 320H', 'Statistics and Data Sciences 328M']",[],,"SDS 320E. Elements of Statistics. Introduction to statistics. Subjects include probability; principles of observational study and experimental design; statistical models and inference, including the multiple linear regression model and one-way analysis of variance. R programming is introduced. Three lecture hours and one laboratory hour a week for one semester. Only one of the following may be counted: Statistics and Data Sciences 320E, 320H, and 328M."
SDS 321,Introduction to Probability and Statistics,"Covers fundamentals of probability, combinatorics, discrete and continuous random variables, jointly distributed random variables, and limit theorems. Using probability to introduce fundamentals of statistics, including Bayesian and classical inference.",['Statistics and Data Sciences 431'],"['Mathematics 408C, 408L, 408R, 408S, or 408Q with a grade of at least C-']",,"SDS 321. Introduction to Probability and Statistics. Covers fundamentals of probability, combinatorics, discrete and continuous random variables, jointly distributed random variables, and limit theorems. Using probability to introduce fundamentals of statistics, including Bayesian and classical inference. The equivalent of four lectures hours a week. Statistics and Data Sciences 321 and 431 may not both be counted. Prerequisite: Mathematics 408C, 408L, 408R, 408S, or 408Q with a grade of at least C-."
SDS 354,Advanced Statistical Methods,"Explore advanced methods in statistics and data science. Examine modeling data with multilevel (hierarchical) structure and causal inference, including design and analysis strategies. Discuss smoothing methods; spatial and time series models; additive models; and models for network data.",[],['Statistics and Data Sciences 334 with a grade of at least C-'],,"SDS 354. Advanced Statistical Methods. Explore advanced methods in statistics and data science. Examine modeling data with multilevel (hierarchical) structure and causal inference, including design and analysis strategies. Discuss smoothing methods; spatial and time series models; additive models; and models for network data. The equivalent of three lecture hours a week for one semester. Prerequisite: Statistics and Data Sciences 334 with a grade of at least C-."
SDS 357,Case Studies in Data Science,"Explore advanced case studies in data science, with an emphasis on the full data analysis pipeline. Examine data collection, identification of data limitations; data privacy; data preparation and exploration; building, using, and evaluating models; creating data products; and communication and persuasion with data.",[],['Statistics and Data Sciences 334 with a grade of at least C-; credit with a grade of at least C- or registration for Statistics and Data Sciences 336'],,"SDS 357. Case Studies in Data Science. Explore advanced case studies in data science, with an emphasis on the full data analysis pipeline. Examine data collection, identification of data limitations; data privacy; data preparation and exploration; building, using, and evaluating models; creating data products; and communication and persuasion with data. The equivalent of three lecture hours a week for one semester. Prerequisite: Statistics and Data Sciences 334 with a grade of at least C-; credit with a grade of at least C- or registration for Statistics and Data Sciences 336."
SDS 366,Data Visualization,"Explore how to visualize data sets. Reason about, and communicate with, data visualizations.",['Statistics and Data Sciences 375 (Topic: Data Viz in R)'],"['Statistics and Data Sciences 320E, 322E, or 313 and 315']",,"SDS 366. Data Visualization. Explore how to visualize data sets. Reason about, and communicate with, data visualizations. Three lecture hours a week for one semester. Statistics and Data Sciences 366 and 375 (Topic: Data Viz in R) may not both be counted. Prerequisite: Statistics and Data Sciences 320E, 322E, or 313 and 315."
